,536,CFT073,F11,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
3131_Hypothetical_protein,,c3206,,,,,,,,,,,,,,,,,,
78130_hycI,ECP_RS13720,c3277,AS527_RS18655,PROKKA_02482,PROKKA_01075,PROKKA_01534,PROKKA_02306,PROKKA_02753,PROKKA_03856,PROKKA_03510,PROKKA_05290,PROKKA_01888,PROKKA_01554,PROKKA_05602,PROKKA_01489,PROKKA_02125,PROKKA_01990,b2717,ECUMN_3039,UTI89_C3080
2979_Hypothetical_protein,,c3054,,,,,,,,,,,,,,,,,,
19886_Rifampin_ADP-ribosyl..,,,,,,PROKKA_05355,,,,,,,,,,,,,,
55383_rbsA_1,,,,,,,,,,,,,,PROKKA_00671,,,,,,
75983_hyi,ECP_RS02830,c0623,AS527_RS04455,PROKKA_05004,PROKKA_03487,PROKKA_04199,,PROKKA_00337,PROKKA_01213,PROKKA_01006,PROKKA_02273,PROKKA_04146,PROKKA_04226,PROKKA_00236,PROKKA_04031,PROKKA_04743,PROKKA_04385,b0508,ECUMN_0549,UTI89_C0537
19193_hypothetical_protein,,,,,,PROKKA_04627,,,,,,,,,,,,,,UTI89_C0959
4185_Putative_xylulose_ki..,,c4280,AS527_RS07795,PROKKA_03344,,PROKKA_02468,PROKKA_03257,,PROKKA_02925,,,PROKKA_01022,PROKKA_02483,,PROKKA_02372,PROKKA_02970,,,ECUMN_3967,UTI89_C4003
75564_sgrT,ECP_RS00375,,AS527_RS25075,PROKKA_04504,PROKKA_02998,PROKKA_03746,PROKKA_04434,PROKKA_04726,PROKKA_01779,PROKKA_01481,PROKKA_01790,PROKKA_04651,PROKKA_03739,,PROKKA_03489,PROKKA_04249,PROKKA_04825,b4662,,
64366_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_03806,,,,,
76779_ompG,ECP_RS06975,c1791,AS527_RS22405,,PROKKA_04278,PROKKA_00081,PROKKA_00718,PROKKA_01338,PROKKA_00166,PROKKA_00149,PROKKA_03237,PROKKA_03325,PROKKA_00060,PROKKA_01357,PROKKA_05066,PROKKA_00741,PROKKA_03423,b1319,,UTI89_C1590
43394_hypothetical_protein,,,AS527_RS21935,,,,,,,,PROKKA_03751,,,,,,,,,
79338_thiH,ECP_RS21415,c4946,AS527_RS00045,PROKKA_03963,PROKKA_02444,PROKKA_03130,PROKKA_03885,PROKKA_04156,PROKKA_02329,PROKKA_02060,PROKKA_01144,PROKKA_00446,PROKKA_03065,PROKKA_04069,,PROKKA_03619,PROKKA_00420,b3990,ECUMN_4513,UTI89_C3830
75559_yabI,ECP_RS00350,c0081,AS527_RS25100,PROKKA_04496,PROKKA_02991,PROKKA_03739,PROKKA_04427,PROKKA_04732,PROKKA_01785,PROKKA_01487,PROKKA_01783,PROKKA_04657,PROKKA_03732,PROKKA_03353,PROKKA_03482,PROKKA_04242,,b0065,ECUMN_0066,UTI89_C0073
77812_frc,ECP_RS12230,c2910,AS527_RS09560,PROKKA_02134,PROKKA_00757,PROKKA_01179,PROKKA_01958,PROKKA_02406,PROKKA_04158,PROKKA_03827,PROKKA_04522,PROKKA_02238,PROKKA_01205,,PROKKA_01182,PROKKA_01824,PROKKA_02301,b2374,ECUMN_2703,UTI89_C2706
78047_nadK,ECP_RS13385,c3137,AS527_RS19305,PROKKA_02378,PROKKA_01001,PROKKA_01403,PROKKA_02228,,PROKKA_03933,PROKKA_03599,PROKKA_05363,PROKKA_01956,PROKKA_01480,PROKKA_05690,PROKKA_01416,PROKKA_02055,PROKKA_02062,b2615,ECUMN_2939,UTI89_C2949
77434_yeeN,ECP_RS10015,c2445,AS527_RS01705,PROKKA_01656,PROKKA_00318,PROKKA_00734,PROKKA_01520,PROKKA_02001,PROKKA_04629,PROKKA_04249,PROKKA_03936,PROKKA_02654,PROKKA_00748,PROKKA_02187,PROKKA_00701,PROKKA_01394,PROKKA_02773,b1983,ECUMN_2321,UTI89_C2196
76247_ybhQ,ECP_RS04050,c0874,AS527_RS05695,PROKKA_00287,PROKKA_03753,PROKKA_04475,PROKKA_00053,PROKKA_00684,PROKKA_00962,PROKKA_00739,PROKKA_02538,PROKKA_03892,PROKKA_04473,,PROKKA_04284,PROKKA_00025,PROKKA_04128,b0791,ECUMN_0935,UTI89_C0792
3224_Hypothetical_protein,ECP_RS13910,c3302,AS527_RS18530,,,PROKKA_01559,,,PROKKA_03830,PROKKA_03483,PROKKA_05264,PROKKA_01843,PROKKA_01580,,PROKKA_01515,PROKKA_02150,PROKKA_01948,,,UTI89_C3107
16152_hypothetical_protein,,,,,,PROKKA_01410,,,,,,,,,,,,,,
56943_sbcB,,,,,,,,,,,,,,PROKKA_02297,,,,,,
55902_Transposase_DDE_doma..,,,,,,,,,,,,,,PROKKA_01206,,,,,,
86071_putrescine_importer,ECP_RS26190,,,,,,,,,,,,,,,,,,,
10252_Carboxymuconolactone..,,,,PROKKA_05159,,,,,,,,,,,,,,,,
55972_hypothetical_protein,,,,,,,,,,,,,,PROKKA_01279,,,,,,
78080_lhgO,ECP_RS13420,c3208,AS527_RS18955,PROKKA_02421,PROKKA_01017,PROKKA_01473,PROKKA_02244,PROKKA_02694,PROKKA_03925,PROKKA_03573,PROKKA_05355,PROKKA_01948,PROKKA_01488,,PROKKA_01424,PROKKA_02063,PROKKA_02054,b2660,ECUMN_2984,UTI89_C3015
55948_galU_2,,,,,,,,,,,,,,PROKKA_01255,,,,,,
1151_Putative_3-oxoacyl--..,,c1189,,PROKKA_03328,,,,,PROKKA_00716,,,,,,PROKKA_04541,,,,ECUMN_3952,
4728_Shikimate_transporte..,ECP_RS20825,c4830,AS527_RS22715,,PROKKA_02320,PROKKA_03010,,,PROKKA_02451,,,PROKKA_00572,PROKKA_02944,,PROKKA_02818,PROKKA_03456,PROKKA_00539,,,UTI89_C4467
14931_putative_autotranspo..,,,,,,PROKKA_00127,,,,,,PROKKA_03216,,,,,,,,
54599_ntdC_2,,,,,,,,,,,,,,PROKKA_06081,,,,,,
40768_Putative_thioesteras..,,,,,,,,,,,PROKKA_00984,,,PROKKA_05895,,,,,,
15408_hypothetical_protein,,,,,,PROKKA_00623,,,,,,,,,,,,,,
24526_xdhA_3,,,,,,,PROKKA_04721,,,,,,,,,,,,,
78431_tolC,ECP_RS15950,c3781,AS527_RS10980,PROKKA_02884,PROKKA_01444,PROKKA_02011,PROKKA_02779,PROKKA_03203,PROKKA_03398,PROKKA_03103,PROKKA_00039,PROKKA_01482,PROKKA_02016,PROKKA_05126,PROKKA_01897,PROKKA_02510,PROKKA_01476,b3035,ECUMN_3520,UTI89_C3469
75706_ykfM,,,,,PROKKA_03151,,PROKKA_04597,PROKKA_00046,,,,,,PROKKA_03173,,,,b4586,,
50988_hypothetical_protein,,,,,,,,,,,,,PROKKA_01330,,,,,,,
60100_tetR,,,,,,,,,,,,,,PROKKA_05269,,,,,,
56046_ycjU,,,,,,,,,,,,,,PROKKA_01355,,,,,,
78830_livF,ECP_RS18090,c4244,AS527_RS07600,PROKKA_03292,PROKKA_01854,PROKKA_02432,PROKKA_03220,PROKKA_03540,PROKKA_02958,PROKKA_02675,PROKKA_00477,PROKKA_01064,PROKKA_02450,PROKKA_04598,PROKKA_02333,PROKKA_02937,PROKKA_01026,b3454,ECUMN_3916,UTI89_C3961
10163_Phage_DNA_packaging_..,,,,PROKKA_05070,,,,,,,,,,,,,,,,
79373_yjbG,ECP_RS21655,c4996,AS527_RS11630,PROKKA_04013,PROKKA_02490,PROKKA_03181,PROKKA_03936,PROKKA_04204,PROKKA_02276,PROKKA_02007,PROKKA_01196,PROKKA_00394,PROKKA_03117,PROKKA_03991,PROKKA_02992,PROKKA_03671,PROKKA_00368,b4028,ECUMN_4561,UTI89_C4596
58959_rplJ,,,,,,,,,,,,,,PROKKA_04074,,,,,,
75741_ykfC,,,,PROKKA_02801 PROKKA_03795 PROKKA_04693 PROKKA_04768 PROKKA_05172 PROKKA_05190,,PROKKA_02707,,PROKKA_04477,PROKKA_01474,,,PROKKA_04839,,PROKKA_05048,,,,b0258,ECUMN_p10015,UTI89_P037
76577_potC,ECP_RS05670,c1399,AS527_RS02950,PROKKA_00624,PROKKA_04093,PROKKA_04910,PROKKA_00476,PROKKA_01091,PROKKA_00505,PROKKA_00415,PROKKA_02861,PROKKA_03572,PROKKA_04791,PROKKA_01110,PROKKA_04780,PROKKA_00486,PROKKA_03695,b1124,ECUMN_1302,UTI89_C1252
20279_murein_L-D-transpept..,,,,,,,PROKKA_00256,,,PROKKA_00599,,,,,,,,,,
74688_bacteriophage_N4_ads..,,,,,,,,,,,,,,,,,PROKKA_04349,,,
47079_hypothetical_protein,,,,,,,,,,,,PROKKA_02011,,,,,,,,
5092_pgtP,ECP_RS15215,c5201,AS527_RS12720,,,,,,,PROKKA_03216,,,PROKKA_03283,,,,PROKKA_01661,,,
23290_yibH_1,,,,,,,PROKKA_03404,,,,,,,,,PROKKA_03091,,,,
78792_yhgH,ECP_RS17840,c4190,AS527_RS07360,PROKKA_03248,PROKKA_01811,PROKKA_02392,PROKKA_03176,PROKKA_03498,PROKKA_03009,PROKKA_02725,PROKKA_00426,PROKKA_01102,PROKKA_02399,PROKKA_04646,PROKKA_02283,PROKKA_02890,PROKKA_01080,b3413,ECUMN_3872,UTI89_C3914
77101_mliC,ECP_RS08085,c2031,AS527_RS15975,PROKKA_01282,PROKKA_04590,PROKKA_00299,PROKKA_01133,PROKKA_01615,PROKKA_05032,PROKKA_04657,PROKKA_03472,PROKKA_03043,PROKKA_00294,PROKKA_01790,PROKKA_00286,PROKKA_01005,PROKKA_03168,b1639,ECUMN_1930,UTI89_C1830
20508_hypothetical_protein,,,,,,,PROKKA_00491,,,,,,,,,,,,,
32478_hypothetical_protein,,,,,,,,,PROKKA_02717,,,,PROKKA_02684,,,,,,,
76366_cmk,ECP_RS04645,c1048,AS527_RS01940,PROKKA_00421,PROKKA_03877,PROKKA_04710,PROKKA_00239,PROKKA_00870,PROKKA_00843,PROKKA_00616,PROKKA_02663,PROKKA_03771,PROKKA_04593,PROKKA_00883,PROKKA_04415,PROKKA_00220,PROKKA_03993,b0910,ECUMN_1103,UTI89_C0981
29418_flu_4,ECP_RS15355,,,,,,,PROKKA_04506,PROKKA_01454,,,,,,,PROKKA_00382,,,,UTI89_C1139
92823_hypothetical_protein,,,AS527_RS25830,,,,,,,,,,,,,,,,,UTI89_C5099
43362_hypothetical_protein,,,,,,,,,,,PROKKA_03719,,,,,,,,,
16815_srlR_4,,,,,,PROKKA_02104,,,PROKKA_03301,,,,,PROKKA_04946,,,,,,
13278_putative_fimbrial-li..,,,,,PROKKA_03065,,PROKKA_04504,PROKKA_04752,,,,,,PROKKA_03273,,,,,,
24496_Bacterial_regulatory..,,,,,,,PROKKA_04691,,,,,,,,,,,,,
78995_rfaD,ECP_RS18945,c4445,AS527_RS00665,PROKKA_03513,PROKKA_02039,PROKKA_02619,PROKKA_03436,PROKKA_03725,PROKKA_02768,PROKKA_02483,PROKKA_00667,PROKKA_00870,PROKKA_02633,PROKKA_04373,PROKKA_02519,PROKKA_03116,PROKKA_00852,b3619,ECUMN_4136,UTI89_C4164
79477_dtpC,ECP_RS22290,c5139,AS527_RS12275,PROKKA_04114,PROKKA_02595,PROKKA_03322,PROKKA_04058,PROKKA_04314,PROKKA_02143,PROKKA_01890,PROKKA_01320,PROKKA_00256,PROKKA_03247,,PROKKA_03116,PROKKA_03794,,b4130,ECUMN_4664,UTI89_C4727
57739_hypothetical_protein,,,,,,,,,,,,,,PROKKA_06317,,,,,,
27693_hypothetical_protein,,,,,,,,PROKKA_02664,,,,,,,,,,,,
28611_hypothetical_protein,,,,,,,,PROKKA_03629,,,,,,,,,,,,
17840_mntH_2,,,,,,PROKKA_03203,,,,,,,,,,,,,,
23602_yihN_1,,,,,,,PROKKA_03743,,,,,,,,,,,,,
49376_Phage_Terminase,,,AS527_RS19115,,,,,,,,,PROKKA_04411,,,PROKKA_03778,,,,ECUMN_0889,UTI89_C2985
10321_traI,,,AS527_RS09295,PROKKA_05235,,,,,,PROKKA_04917,,PROKKA_04933,,PROKKA_06120,,,PROKKA_05357,,ECUMN_p10078,UTI89_P138
29725_hypothetical_protein,,,,,,,,PROKKA_04825 PROKKA_05008,,,,,,,,,,,,
45221_DNA-dependent_helica..,,,,,,,,,,,,PROKKA_00035,,PROKKA_03493,,,,,,
719_Hypothetical_protein,,c0746,,,,,,,,,,,,,,,,,,
5026_Hypothetical_protein,,c5135,,,,,,,,,,,,,,,,,,UTI89_C4722
20391_ycdT_2,,,,,,,PROKKA_00370,,,,,,,,,,,,,
87729_polysialic_acid_tran..,ECP_RS15485,,,,,,,,,,,,,,,,,,,
9419_hypothetical_protein,,,,PROKKA_04286,,,,,,,,,,,,,,,,
69850_hypothetical_protein,,,,,,,,,,,,,,,,PROKKA_04428,,,,
75862_psiF,ECP_RS02215,c0491,AS527_RS03820,PROKKA_04873,PROKKA_03356,PROKKA_04069,PROKKA_04830,PROKKA_00210,PROKKA_01345,PROKKA_01133,PROKKA_02141,PROKKA_04273,PROKKA_04101,PROKKA_00098,PROKKA_03903,PROKKA_04617,PROKKA_04515,b0384,ECUMN_0422,UTI89_C0403
76467_rutE,ECP_RS05100,c1145,AS527_RS02380,PROKKA_00507,PROKKA_03976,PROKKA_04794,PROKKA_00349,PROKKA_00977,PROKKA_00757,PROKKA_00527,PROKKA_02748,PROKKA_03686,PROKKA_04677,PROKKA_00983,PROKKA_04501,PROKKA_00306,PROKKA_03910,b1008,ECUMN_1191,UTI89_C1071
58091_hypothetical_protein,,,,,,,,,,,,,,PROKKA_03164,,,,,,
252_Hypothetical_protein,,c0262 c3614 c4508,,,,,,,PROKKA_01482 PROKKA_01611,,PROKKA_01392,,PROKKA_03490 PROKKA_03904,,,PROKKA_03868,,,,UTI89_C4913
1366_Hypothetical_protein,,c1414,,,,,,PROKKA_01107,PROKKA_00489,,PROKKA_02875,,PROKKA_04807,,PROKKA_04796,,,,ECUMN_1320,
75999_ppiB,ECP_RS02915,c0641,AS527_RS04540,PROKKA_05021,PROKKA_03504,PROKKA_04217,PROKKA_04985,PROKKA_00354,PROKKA_01195,PROKKA_00986,PROKKA_02293,PROKKA_04128,PROKKA_04244,PROKKA_00253,PROKKA_04049,PROKKA_04761,PROKKA_04367,b0525,ECUMN_0565,UTI89_C0554
31301_hypothetical_protein,,,,,,,,,PROKKA_01458,,,,,,,,,,,
12248_fimA_2,,,,,PROKKA_01959,,,,,PROKKA_02564,,,,,,,,,,
73040_tuaG,,,,,,,,,,,,,,,,,PROKKA_02627,,,
9766_Intracellular_multip..,ECP_RS01145,,AS527_RS08395,PROKKA_04656,,,,,,,PROKKA_01949,PROKKA_04490,,,,PROKKA_04408,PROKKA_04666,,ECUMN_0216,UTI89_C0239
45006_papA,,,,,,,,,,,,PROKKA_04803,,,,,,,,
77702_menC,ECP_RS11740,c2804,AS527_RS20135,PROKKA_02038,PROKKA_00610,PROKKA_01070,PROKKA_01850,PROKKA_02304,PROKKA_04260,PROKKA_03921,PROKKA_04368,PROKKA_02333,PROKKA_01103,PROKKA_02634,PROKKA_01084,PROKKA_01729,PROKKA_02404,b2261,ECUMN_2604,UTI89_C2544
77505_wcaB,ECP_RS10685,c2584,AS527_RS08175,PROKKA_01770,PROKKA_00392,PROKKA_00854,,,PROKKA_04482,PROKKA_04147,PROKKA_04086,PROKKA_02544,PROKKA_00888,,PROKKA_00869,,,b2058,ECUMN_2394,UTI89_C2332
76430_hyaD,ECP_RS04950,c1116,AS527_RS02245,PROKKA_00481,PROKKA_03942,PROKKA_04769,PROKKA_00313,PROKKA_00940,PROKKA_00782,PROKKA_00551,PROKKA_02722,PROKKA_03712,PROKKA_04651,PROKKA_00954,PROKKA_04476,PROKKA_00280,PROKKA_03934,b0975,ECUMN_1165,UTI89_C1043
76299_mdfA,ECP_RS04310,c0927,AS527_RS05950,PROKKA_00346,PROKKA_03806,PROKKA_04526,,PROKKA_00740,PROKKA_00912,PROKKA_00688,PROKKA_02592,PROKKA_03841,PROKKA_04523,PROKKA_00748,PROKKA_04337,PROKKA_00077,PROKKA_04076,b0842,ECUMN_1032,UTI89_C0845
10702_cobT_1,,,,,PROKKA_00329,,,,,,,,,,,,,,,
44698_ndhF,,,,,,,,,,,PROKKA_05112,,,,,,,,,
76322_ybjP,ECP_RS04430,c0998,,PROKKA_00374,PROKKA_03830,PROKKA_04550,PROKKA_00153,PROKKA_00767,PROKKA_00889,PROKKA_00663,PROKKA_02616,PROKKA_03817,PROKKA_04547,PROKKA_00774,PROKKA_04361,PROKKA_00145,PROKKA_04052,b0865,ECUMN_1058,UTI89_C0868
78877_arsB,,,,PROKKA_03366,PROKKA_01901,,PROKKA_03284,PROKKA_03589,,,,,,PROKKA_04546,,,,b3502,ECUMN_3992,
33614_proV_2,,,,,,,,,PROKKA_03905,,,,,,,,,,,
77507_wzc,ECP_RS10695,c2586,AS527_RS08165,PROKKA_01772,PROKKA_00394,PROKKA_00856,PROKKA_01604,,PROKKA_04480,PROKKA_04145,PROKKA_04088,PROKKA_02542,PROKKA_00890,PROKKA_02357,PROKKA_00871,PROKKA_01519,PROKKA_02626,b2060,ECUMN_2396,UTI89_C2334
24498_hypothetical_protein,,,,,,,PROKKA_04693,,,,,,,,,,,,,
2492_Hypothetical_protein,ECP_RS10580,c2561,,,,,,,PROKKA_04506,,,,,,,,PROKKA_02652,,,
78151_ygbL,ECP_RS13895,c3299,AS527_RS18545,,PROKKA_01097,PROKKA_01556,PROKKA_02330,PROKKA_02775,PROKKA_03834,PROKKA_03486,PROKKA_05267,PROKKA_01846,PROKKA_01577,,PROKKA_01511,PROKKA_02147,PROKKA_01951,b2738,,UTI89_C3104
79576_fbp,ECP_RS22820,c5329,AS527_RS21655,PROKKA_04265,PROKKA_02706,PROKKA_03434,PROKKA_04171,PROKKA_04422,PROKKA_02031,PROKKA_01780,PROKKA_01508,PROKKA_00147,PROKKA_03351,PROKKA_03673,PROKKA_03228,PROKKA_04012,PROKKA_00050,b4232,ECUMN_4765,UTI89_C4836
78537_rsmI,ECP_RS16480,c3899,AS527_RS14040,PROKKA_02995,PROKKA_01559,PROKKA_02118,PROKKA_02909,PROKKA_03089,PROKKA_03287,PROKKA_03000,PROKKA_00147,PROKKA_01375,PROKKA_02124,PROKKA_04932,PROKKA_02005,PROKKA_02618,PROKKA_01364,b3146,ECUMN_3626,UTI89_C3573
1181_Hypothetical_protein,ECP_RS24355,c1221,,,,,,,,,,,,,,,,,,
19201_helix-turn-helix_pro..,,,,,,PROKKA_04635,,,,,,,,,,,,,,
76627_minE,ECP_RS06180,c1621,AS527_RS07000,PROKKA_00724,PROKKA_04119,PROKKA_05001,PROKKA_00544,PROKKA_01174,PROKKA_00333,PROKKA_00385,PROKKA_02991,PROKKA_03485,PROKKA_04984,PROKKA_01144,PROKKA_04909,PROKKA_00582,PROKKA_03588,b1174,ECUMN_1463,UTI89_C1359
24115_hpaB_1,,,,,,,PROKKA_04289,,,,,,,,,,,,,
77174_pheT,ECP_RS08470,,AS527_RS15585,PROKKA_01366,PROKKA_00036,PROKKA_00380,PROKKA_01226,PROKKA_01698,PROKKA_04949,PROKKA_04575,PROKKA_03555,PROKKA_02963,PROKKA_00375,PROKKA_01883,PROKKA_00366,PROKKA_01088,,b1713,ECUMN_2004,UTI89_C1906
14741_sodC,,,,,PROKKA_04597,,PROKKA_01141,PROKKA_01622,,,,,,,,,,,,
15367_Phage_late_control_g..,,,,,,PROKKA_00580,,,,,,,,,,,,,,
1374_Hypothetical_protein,,c1422,,,,,,,,,,,,,,,,,,
38660_elaD,ECP_RS11780,,,,,,,,,PROKKA_03913,PROKKA_04376,,,,,,PROKKA_02396,,,
24070_hypothetical_protein,,,,,,,PROKKA_04244,,,,,,,,,,,,,
79005_waaS,,,,,,PROKKA_02629,,,,,,,,,,,,b3629,,
7644_hypothetical_protein,,,,PROKKA_02395,,,,,,,,,,,,,,,ECUMN_2953,
26228_Phage_portal_protein,,,AS527_RS21960,,,,,PROKKA_01127,,,PROKKA_03745,,PROKKA_00685,,,,,,,
88468_integrase,ECP_RS26515 ECP_RS26005,,,,,,,,,,,,,,,,,,,
4475_Hypothetical_protein,,c4572,,,,,,,,,,,,,,,,,,UTI89_C4992
76333_ybjD,ECP_RS04490,c1011,AS527_RS06350,PROKKA_00386,PROKKA_03841,PROKKA_04562,PROKKA_00166,PROKKA_00779,PROKKA_00878,PROKKA_00652,PROKKA_02627,PROKKA_03806,PROKKA_04559,PROKKA_00790,PROKKA_04372,PROKKA_00156,PROKKA_04040,b0876,ECUMN_1071,UTI89_C0880
55977_trpC_1,,,,,,,,,,,,,,PROKKA_01284,,,,,,
77035_ydfB,,c1408,AS527_RS27620,,,PROKKA_05138,PROKKA_01051,PROKKA_01100,PROKKA_00495,,PROKKA_02868,,PROKKA_04800,,,,,b1572,,UTI89_C1464
18785_hypothetical_protein,,,,,,PROKKA_04191,,,,,,PROKKA_04153,,,,,,,,
18926_hypothetical_protein,,,,,,PROKKA_04347,,,,,,PROKKA_04010,,PROKKA_00400,,,,,,
43866_hypothetical_protein,,,,,,,,,,,PROKKA_04253,,,,,,,,,
78527_agaS,ECP_RS16450,c3893,AS527_RS14070,PROKKA_02989,PROKKA_01549,PROKKA_02112,,PROKKA_03099,PROKKA_03293,PROKKA_03006,PROKKA_00140,PROKKA_01381,PROKKA_02118,PROKKA_04938,PROKKA_01999,PROKKA_02611,PROKKA_01371,b3136,ECUMN_3620,UTI89_C3567
19865_Replication_regulato..,,,,,,PROKKA_05333,,,,,,,,PROKKA_06111,,,,,,
78086_yqaE,ECP_RS13450,c3215,AS527_RS18925,PROKKA_02427,PROKKA_01023,PROKKA_01479,PROKKA_02250,PROKKA_02701,PROKKA_03919,PROKKA_03567,PROKKA_05349,PROKKA_01942,PROKKA_01494,PROKKA_05660,PROKKA_01430,PROKKA_02069,PROKKA_02048,b2666,ECUMN_2990,UTI89_C3022
62048_purL_2,,,,,,,,,,,,,,,PROKKA_01351,,,,,
39803_hypothetical_protein,,,,,,,,,,,PROKKA_05702,,,,,PROKKA_04986 PROKKA_05032,,,,
3259_Hypothetical_protein,ECP_RS14095,c3338,AS527_RS18370,PROKKA_02549,,,,,PROKKA_03796,,PROKKA_05224,PROKKA_01802,PROKKA_01613,,PROKKA_01556,,PROKKA_01909,,ECUMN_3106,UTI89_C3143
49383_hypothetical_protein,,,,,,,,,,,,PROKKA_04418,,,,,,,,
57121_cirA_4,,,,,,,,,,,,,,PROKKA_02486,,,,,,
78315_zapA,ECP_RS14825,c3492,AS527_RS17635,PROKKA_02703,PROKKA_01305,PROKKA_01757,PROKKA_02551,PROKKA_02962,PROKKA_03639,PROKKA_03288,PROKKA_05070,PROKKA_01650,PROKKA_01757,PROKKA_05348,PROKKA_01711,PROKKA_02337,PROKKA_01752,b2910,ECUMN_3252,UTI89_C3297
36158_ecoRIIR,,,,,,,,,,PROKKA_01261,,,,,,,,,,
29290_PspA-IM30_family_pro..,,,,,,,,PROKKA_04372,,,,,,,,,,,,
39010_hypothetical_protein,,,,,,,,,,PROKKA_04282,,,,,PROKKA_00664,,,,,
6022_hypothetical_protein,,,,PROKKA_00679,,,,,,,,,,,,,,,,
2286_Hypothetical_protein,,c2351,,,,,,,,,,,,,,,,,,
7653_hypothetical_protein,,,,PROKKA_02404,,,,,,,,,,,,,,,ECUMN_2962,
50453_pksJ,ECP_RS10140,,,,,,,,,,,,PROKKA_00775,,,PROKKA_01423,,,,UTI89_C2222
20665_ywlC,,,,,,,PROKKA_00658,,,,,,,,,,,,,
60697_Plasmid_SOS_inhibiti..,,,,,,,,,,,,,,,PROKKA_05156,,,,,
97659_hypothetical_protein,,,,,,,,,,,,,,,,,,,,UTI89_C3199
56884_hypothetical_protein,,,,,,,,,,,,,,PROKKA_02236,,,,,,
60061_kpsD_1,,,,,,,,,,,,,,PROKKA_05229,,,,,,
88969_hypothetical_protein,ECP_RS25840,,AS527_RS27750,,,,,,,,,,,,,,,,,
16382_hypothetical_protein,,,,,,PROKKA_01655,,,,,,PROKKA_01748,,,,,,,,
56950_hypothetical_protein,,,,,,,,,,,,,,PROKKA_02305,,,,,,
7761_alkaline_phosphatase..,,,,PROKKA_02520,,,,,,,,,,,,,,,,
6435_dmlR_2,,,,PROKKA_01120,,,,,,,,,,,,,,,ECUMN_1774,
19715_hypothetical_protein,,,,,,PROKKA_05164,,,PROKKA_00470,,PROKKA_02895,,PROKKA_04826,,,,,,,
59006_hypothetical_protein,,,,,,,,,,,,,,PROKKA_04131,,,,,,
72062_cbtA_1,,,,,,,,,,,,,,,,,PROKKA_01602,,,
82154_Type_IV_secretory_pa..,,,,,,,,,,,,,,,,,,,ECUMN_2289,
34915_hypothetical_protein,,,,,,,,,,PROKKA_04928,,,,,,,,,,
5678_cytR_1,,,,PROKKA_00322,,,,,,,,,,PROKKA_00714,,,,,ECUMN_1008,
2327_Putative_P4-family_i..,ECP_RS09780,c2392,,,,,,,PROKKA_04683,,,PROKKA_02703,PROKKA_00636,,PROKKA_00630,PROKKA_01344,PROKKA_02823,,,
29846_cat,,,,,,,,PROKKA_04952,,,,,,PROKKA_03822,,,,,ECUMN_4806,
7740_hypothetical_protein,,,,PROKKA_02499,,,,PROKKA_02769,,PROKKA_03492,PROKKA_05273,PROKKA_01871,,,,,,,,UTI89_C3097
38164_hypothetical_protein,,,,,,,,,,PROKKA_03385,,,,,,,,,,
76952_pqqL,ECP_RS07590,c1923,AS527_RS16525,PROKKA_01095,PROKKA_04434,,PROKKA_00924,PROKKA_01485,PROKKA_00032,PROKKA_00027,,,PROKKA_00182,PROKKA_01568,,PROKKA_00861,PROKKA_03294,b1494,ECUMN_1748,UTI89_C1708
76177_abrB,ECP_RS03660,c0794,AS527_RS05315,PROKKA_00199,PROKKA_03672,PROKKA_04390,PROKKA_05194,PROKKA_00601,PROKKA_01039,PROKKA_00816,PROKKA_02461,PROKKA_03968,PROKKA_04397,PROKKA_00440,PROKKA_04208,PROKKA_04915,PROKKA_04205,b0715,ECUMN_0793,UTI89_C0713
79685_mrr,,,AS527_RS26030,PROKKA_04358,PROKKA_02842,,,,,,,,,,,,,b4351,ECUMN_4960,UTI89_C5054
21633_hypothetical_protein,,,,,,,PROKKA_01671,,,,,,,,,,,,,
19586_putative_ABC_transpo..,,,,,,PROKKA_05028,,,PROKKA_00306,PROKKA_00359,PROKKA_03018,,PROKKA_05010,,PROKKA_04935,PROKKA_00608,,,,
65049_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_04528,,,,,
92508_hypothetical_protein,,,AS527_RS17270,,,,,,,,,,,,,,,,,
61224_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_00488,,,,,
76882_ydcI,ECP_RS07265,c1847,AS527_RS13265,PROKKA_01013,PROKKA_04353,PROKKA_00142,PROKKA_00839,PROKKA_01413,PROKKA_00105,PROKKA_00093,PROKKA_03296,PROKKA_03203,PROKKA_00116,PROKKA_01491,PROKKA_00050,PROKKA_00794,PROKKA_03357,b1422,ECUMN_1669,UTI89_C1643
18352_Tripartite_tricarbox..,,,,,,PROKKA_03735,,,,PROKKA_01490,,PROKKA_04660,,,,,,,,
32475_era_3,,,,,,,,,PROKKA_02714,,,,PROKKA_02687,,,,,,,
75705_yafT,ECP_RS01130,,AS527_RS08410,PROKKA_04653,PROKKA_03150,,,PROKKA_00045,,,PROKKA_01946,PROKKA_04494,,,,PROKKA_04404,PROKKA_04669,b0217,ECUMN_0213,UTI89_C0236
33232_hypothetical_protein,,,,,,,,,PROKKA_03503,,,,,,,,,,,
