,536,CFT073,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
59862_dcuA_3,,,,,,,,,,,,,PROKKA_02219,,,,,,
78229_recD,ECP_RS14450,c3413,PROKKA_02592,PROKKA_01181,PROKKA_01680,PROKKA_02438,PROKKA_02856,PROKKA_03720,PROKKA_03366,PROKKA_05146,PROKKA_01725,PROKKA_01682,PROKKA_05479,PROKKA_01634,PROKKA_02260,PROKKA_01834,b2819,ECUMN_3146,UTI89_C3220
24175_hypothetical_protein,,,,,,PROKKA_04379,,,,,,,,,,,,,
44633_hypothetical_protein,,,,,,,,,,PROKKA_04743,,,,PROKKA_01384,PROKKA_02023,PROKKA_02097,,,
10583_hypothetical_protein,,,,PROKKA_00199,,,,,,,,,,,,,,,
42920_hypothetical_protein,,,,,,,,,,PROKKA_02945,,,,,,,,,
79047_ilvB,ECP_RS19685,c4596,PROKKA_03582,PROKKA_02096,PROKKA_02778,PROKKA_03509,PROKKA_03799,PROKKA_02688,PROKKA_02422,PROKKA_00730,PROKKA_00807,PROKKA_02713,PROKKA_04198,PROKKA_02582,PROKKA_03222,PROKKA_00775,b3671,ECUMN_4202,UTI89_C4227
79287_rraA,ECP_RS21070,c4881,PROKKA_03897,PROKKA_02373,PROKKA_03062,PROKKA_03811,PROKKA_04086,PROKKA_02402,PROKKA_02138,PROKKA_01071,PROKKA_00513,PROKKA_02993,PROKKA_05948,PROKKA_02867,PROKKA_03548,PROKKA_00494,b3929,ECUMN_4459,UTI89_C4513
64457_ddlA_1,,,,,,,,,,,,,,PROKKA_03899,,,,,
4831_Hypothetical_protein,,c4934,,,,,,,,,,,,,,,,,UTI89_C3801
2157_Hypothetical_protein,,c2220,,,,,,,,,,,,,,,,,
34525_hypothetical_protein,,,,,,,,PROKKA_04863,,,,,,,,,,,
82036_hypothetical_protein,,,,,,,,,,,,,,,,,,ECUMN_2315,
31794_hypothetical_protein,,,,,,,,PROKKA_01976,,,,,,,,,,,
79721_serB,ECP_RS23970,c5473,PROKKA_04410,PROKKA_02911,PROKKA_03648,PROKKA_04339,PROKKA_04595,PROKKA_01872,PROKKA_01577,PROKKA_01699,PROKKA_04746,PROKKA_03647,PROKKA_03452,PROKKA_03394,PROKKA_04157,PROKKA_04916,b4388,ECUMN_5012,UTI89_C5159
20476_hypothetical_protein,,,,,,PROKKA_00483,PROKKA_01098,PROKKA_00497,,,,PROKKA_04798,,,,,,,
78179_ygcN,ECP_RS14010,c3325,PROKKA_02537,PROKKA_01125,PROKKA_01581,PROKKA_02368,,PROKKA_03808,PROKKA_03462,PROKKA_05243,PROKKA_01821,PROKKA_01601,PROKKA_05548,PROKKA_01536,PROKKA_02171,PROKKA_01927,b2766,ECUMN_3094,UTI89_C3130
34274_ppsD,,,,,,,,PROKKA_04597,,,,,,,,,,,
77288_yebO,ECP_RS09060,c2233,PROKKA_01481,PROKKA_00144,PROKKA_00489,PROKKA_01355,PROKKA_01811,PROKKA_04835,PROKKA_04463,PROKKA_03671,PROKKA_02854,PROKKA_00485,PROKKA_02008,PROKKA_00476,PROKKA_01196,PROKKA_02958,b1825,ECUMN_2118,UTI89_C2025
79456_proP,ECP_RS22180,c5116,PROKKA_04092,PROKKA_02573,PROKKA_03292,PROKKA_04036,PROKKA_04291,PROKKA_02165,PROKKA_01911,PROKKA_01299,PROKKA_00286,PROKKA_03226,PROKKA_03890,PROKKA_03095,PROKKA_03773,PROKKA_00180,b4111,ECUMN_4642,UTI89_C4705
29304_hypothetical_protein,,,,,,,PROKKA_04187,,,,,,,,,,,,
75567_leuC,ECP_RS00385,c0089,PROKKA_04506,PROKKA_03001,PROKKA_03748,PROKKA_04437,PROKKA_04722,PROKKA_01776,PROKKA_01478,PROKKA_01792,PROKKA_04648,PROKKA_03741,PROKKA_03343,PROKKA_03491,PROKKA_04251,PROKKA_04822,b0072,ECUMN_0074,UTI89_C0079
77602_nfo,ECP_RS11205,c2694,PROKKA_01928,PROKKA_00517,PROKKA_00960,PROKKA_01745,PROKKA_02207,PROKKA_04370,PROKKA_04030,PROKKA_04191,PROKKA_02438,PROKKA_00994,PROKKA_02493,PROKKA_00975,PROKKA_01622,PROKKA_02513,b2159,ECUMN_2495,UTI89_C2434
6221_hypothetical_protein,,,PROKKA_00668,,,PROKKA_01034,,,,,,,,,,,,ECUMN_1408,
4806_Hypothetical_protein,,c4909,,,,,,,,,,,,,,,,,UTI89_C4541
24845_Phosphoadenosine_pho..,,,,,,PROKKA_05076,,,,,,,,,,,,,
76971_lsrD,,,PROKKA_01129,PROKKA_04458,,PROKKA_00976,PROKKA_01512,PROKKA_01488,,,,,PROKKA_01602,,,,b1515,ECUMN_1783,
4401_Putative_glucosidase,,c4496,,,,,,,,,,,,,,,,,
11053_intS_1,,,,PROKKA_00694,,,,,,,,,,,,,,,
23263_rhsC_1,,,,,,PROKKA_03401,,,,,,,,,,,,,
76736_pgpB,ECP_RS06765,c1747,PROKKA_00918,PROKKA_04236,PROKKA_00042,PROKKA_00674,PROKKA_01295,PROKKA_00207,PROKKA_00191,PROKKA_03197,PROKKA_03365,PROKKA_00020 PROKKA_05104,PROKKA_01307,PROKKA_05026,PROKKA_00702,PROKKA_03466,b1278,ECUMN_1580,UTI89_C1549
81843_conserved_hypothetic..,,,,,,,,,,,,,,,,,,ECUMN_2113,
55603_hypothetical_protein,,,,,,,,,,,,,PROKKA_03600,,,,,,
1215_Hypothetical_protein,,c1258,,,,,,,,,,,,,,,,,
77687_rhmD,ECP_RS11665,c2789,,,PROKKA_01053,,,,PROKKA_03936,PROKKA_04352,PROKKA_02348,PROKKA_01087,,PROKKA_01068,PROKKA_01714,PROKKA_02419,b2247,,UTI89_C2529
30547_lagD,,,,,,,,PROKKA_00669,,,,,,,,,,,
21812_Citrate_transporter,,,,,,PROKKA_01878,,,,,,,,,,,,,
20971_bglA_1,,,,,,PROKKA_00998,,,,,,,,,,,,,
59670_prc_2,,,,,,,,,,,,,PROKKA_02014,,,,,,
69313_Rho-activating_domai..,,,,,,,,,,,,,,,PROKKA_03860,,,,
20410_murJ_2,,,,,,PROKKA_00414,,,,,,,,,,,,,
78381_yghO,ECP_RS15600,c3711,,PROKKA_01388,PROKKA_01939,PROKKA_02720,PROKKA_03053,PROKKA_03473,PROKKA_03177,PROKKA_04833,PROKKA_01552,PROKKA_01943,PROKKA_05188,PROKKA_01809,PROKKA_02435,PROKKA_01561,b2981,ECUMN_3457,UTI89_C3396
3700_Putative_disulfide_i..,ECP_RS15975,c3786,,,PROKKA_02015,,,PROKKA_03394,PROKKA_03099,PROKKA_00043,PROKKA_01478,PROKKA_02020,PROKKA_05122,PROKKA_01901,PROKKA_02514,PROKKA_01472,,ECUMN_3524,UTI89_C3474
75915_clpX,ECP_RS02490,c0554,PROKKA_04929,PROKKA_03412,PROKKA_04123,PROKKA_04890,PROKKA_00267,PROKKA_01287,PROKKA_01076,PROKKA_02198,PROKKA_04219,PROKKA_04156,PROKKA_00156,PROKKA_03960,PROKKA_04670,PROKKA_04460,b0438,ECUMN_0478,UTI89_C0466
55076_hypothetical_protein,,,,,,,,,,,,,PROKKA_03046,,,,,,
9992_hypothetical_protein,,,PROKKA_04672,,,,,,,PROKKA_01967,,,,,,,,,
18807_bacteriophage_N4_ads..,,,,,PROKKA_04230,,,,,,,,,,,,,,
54296_Phage_portal_protein..,,,,,,,,,,,,PROKKA_04834,,,,,,,
77873_eutC,ECP_RS12555,c2974,PROKKA_02195,PROKKA_00821,PROKKA_01239,PROKKA_02024,PROKKA_02470,PROKKA_04096,PROKKA_03762,PROKKA_04585,PROKKA_02176,PROKKA_01267,PROKKA_02825,PROKKA_01245,PROKKA_01887,PROKKA_02237,b2440,ECUMN_2761,UTI89_C2773
92071_algP,,,,,,,,,,,,,,,,,,,UTI89_C2745
18560_hsdM_2,,,,,PROKKA_03974,,,,,,,,,,,,,,
79265_rhaR,ECP_RS20950,c4856,PROKKA_03832,PROKKA_02350,PROKKA_03039,PROKKA_03788,PROKKA_04063,PROKKA_02424,PROKKA_02161,PROKKA_05410 PROKKA_01005,PROKKA_00537,PROKKA_02970,PROKKA_05924,PROKKA_02844,PROKKA_03482,PROKKA_00516,b3906,ECUMN_4435,UTI89_C4489
14822_hypothetical_protein,ECP_RS06690,,,,PROKKA_00028,,,,,,PROKKA_03378,,PROKKA_01294,,,PROKKA_03479,,,
19761_hypothetical_protein,,,,,PROKKA_05242,,,,,,,,,,,,,,
86708_hypothetical_protein,ECP_RS24955,,,,,,,,,,,,,,,,,,
59577_astB_2,,,,,,,,,,,,,PROKKA_01919,,,,,,
76089_citG,ECP_RS03210,c0701,PROKKA_00108,PROKKA_03573,PROKKA_04291,PROKKA_05088,PROKKA_00498,PROKKA_01134,PROKKA_00924,PROKKA_02366,PROKKA_04067,PROKKA_04304,PROKKA_00338,PROKKA_04113,PROKKA_04822,PROKKA_04298,b0613,ECUMN_0706,UTI89_C0615
65183_hypothetical_protein,,,,,,,,,,,,,,PROKKA_04667,,,,,
77414_dgcQ,ECP_RS09685,c2374,PROKKA_01615,PROKKA_00292,PROKKA_00689,PROKKA_01486,PROKKA_01958,PROKKA_04700,PROKKA_04322,PROKKA_03896,PROKKA_02720,PROKKA_00619,PROKKA_02156,PROKKA_00612,PROKKA_01327,,b1956,ECUMN_2247,UTI89_C2157
49648_hypothetical_protein,,,,,,,,,,,PROKKA_04919,,,,,,,,
79207_ubiD,ECP_RS20625,c4790,PROKKA_03757,PROKKA_02277,PROKKA_02968,PROKKA_03705,PROKKA_03982,PROKKA_02496,PROKKA_02236,PROKKA_00925,PROKKA_00613,PROKKA_02900,PROKKA_05829,PROKKA_02772,PROKKA_03415,PROKKA_00584,b3843,ECUMN_4367,UTI89_C4428
76321_artP,ECP_RS04425,c0997,PROKKA_00373,PROKKA_03829,PROKKA_04549,PROKKA_00152,PROKKA_00766,PROKKA_00890,PROKKA_00664,PROKKA_02615,PROKKA_03818,PROKKA_04546,PROKKA_00773,PROKKA_04360,PROKKA_00144,PROKKA_04053,b0864,ECUMN_1057,UTI89_C0867
75510_insL-1,,,,,,,,,,,,,PROKKA_00295 PROKKA_01409,,,,b0016 b0582 b2394,,
76770_ycjM,ECP_RS06925,c1780,,PROKKA_04268,PROKKA_00071,PROKKA_00708,PROKKA_01328,PROKKA_00177,PROKKA_00159,PROKKA_03227,PROKKA_03336,PROKKA_00050,PROKKA_01345,PROKKA_05056,PROKKA_00731,PROKKA_03434,b1309,,UTI89_C1579
16008_Putative_neutral_zin..,,,,,PROKKA_01267,,,,PROKKA_03735,,,,,,,PROKKA_02209,,,
50980_hypothetical_protein,,,,,,,,,,,,PROKKA_01322,,,,,,,
55634_hypothetical_protein,,,,,,,,,,,,,PROKKA_03631,,,,,,
14549_Transposase_DDE_doma..,,,,PROKKA_04399,,,,,,,,,,,,,,,
84653_transposase_IS26_fra..,,,,,,,,,,,,,,,,,,ECUMN_p10048,
75836_yaiL,ECP_RS02095,c0462,PROKKA_04850,PROKKA_03334,PROKKA_04050,PROKKA_04806,PROKKA_00183,PROKKA_01370,PROKKA_01158,PROKKA_02118,PROKKA_04293,PROKKA_04078,PROKKA_00070,PROKKA_03879,PROKKA_04594,PROKKA_04540,b0354,ECUMN_0397,UTI89_C0374
446_Putative_transferase,ECP_RS02120 ECP_RS10225,c0468 c2489,PROKKA_01673,,PROKKA_00752,,,PROKKA_04576,PROKKA_01153,PROKKA_02123 PROKKA_03985,PROKKA_02637,PROKKA_00794 PROKKA_04083,,PROKKA_03884,PROKKA_04599,PROKKA_02724,,ECUMN_0402,UTI89_C0380 UTI89_C2241
3607_3-deoxy-manno-octulo..,ECP_RS15430,c3689,PROKKA_02821,,PROKKA_01909,,,PROKKA_03509,,PROKKA_04866,PROKKA_01586,PROKKA_01908,PROKKA_05228,PROKKA_01775,PROKKA_02401,PROKKA_01594,,ECUMN_3422,UTI89_C3365
36957_ptsI_3,,,,,,,,,PROKKA_02114,,,,,,,,,,
57759_Ankyrin_repeat_prote..,,,,,,,,,,,,,PROKKA_00026,,,,,,
78295_prfB,,c5622,PROKKA_02685,PROKKA_01286,PROKKA_01739,PROKKA_02530,PROKKA_02943,PROKKA_03660,PROKKA_03306,PROKKA_05088 PROKKA_05403,PROKKA_01668,PROKKA_01739,PROKKA_05374,PROKKA_01693,PROKKA_02319,PROKKA_01771,b2891,ECUMN_3233,
76943_ddpB,,,PROKKA_01087,PROKKA_04426,,PROKKA_00916,PROKKA_01477,,,,,,PROKKA_01560,,,,b1486,ECUMN_1740,
58898_hypothetical_protein,,,,,,,,,,,,,PROKKA_01209,,,,,,
23954_cycA_3,,,,,,PROKKA_04149,,,,,,,,,,,,,
4709_Hypothetical_protein,,c4811,,,,,,,,,,,,,,,,,UTI89_C4453
43072_hypothetical_protein,,,,,,,,,,PROKKA_03104,,,,,,,,,
79270_cpxA,ECP_RS20980,c4863,PROKKA_03837,PROKKA_02355,PROKKA_03044,PROKKA_03793,PROKKA_04068,PROKKA_02419,PROKKA_02156,PROKKA_01010,PROKKA_00532,PROKKA_02975,PROKKA_05930,PROKKA_02849,PROKKA_03487,PROKKA_00511,b3911,ECUMN_4440,UTI89_C4495
86071_putrescine_importer,ECP_RS26190,,,,,,,,,,,,,,,,,,
79725_slt,ECP_RS24000,c5479,PROKKA_04419,PROKKA_02915,PROKKA_03652,PROKKA_04344,PROKKA_04599,PROKKA_01866,PROKKA_01571,PROKKA_01705,PROKKA_04742,PROKKA_03653,PROKKA_03445,PROKKA_03400,PROKKA_04163,PROKKA_04910,b4392,ECUMN_5023,UTI89_C5165
17929_Acetyltransferase_-G..,,,,,PROKKA_03309,,,,,,PROKKA_00269,,,,,,,,
2333_Hypothetical_protein,ECP_RS09810,c2398,,,,,,PROKKA_04676,,,,PROKKA_00642,,,PROKKA_01350,PROKKA_02816,,,
37999_molybdate_ABC_transp..,,,,,,,,,PROKKA_03212,,,,,,,,,,
33465_clpB_1,,,,,,,,PROKKA_03743,,,,,,,,,,,
70960_uvrD_2,,,,,,,,,,,,,,,,PROKKA_00636,,,
76829_ydaY,,,,,,,,,,,PROKKA_03250,,PROKKA_01437,,,,b1366,,
2843_Hypothetical_protein,,c2918,,,,,,,,,,,,,,,,,
76516_yceB,ECP_RS05365,c1330,PROKKA_00555,PROKKA_04030,PROKKA_04848,PROKKA_00408,PROKKA_01029,PROKKA_00570,PROKKA_00480,PROKKA_02798,PROKKA_03635,PROKKA_04728,PROKKA_01038,PROKKA_04715,PROKKA_00423,PROKKA_03760,b1063,ECUMN_1237,UTI89_C1188
31385_hypothetical_protein,,,,,,,,PROKKA_01545,,,,PROKKA_03968,,PROKKA_03711,,,,,
87696_hypothetical_protein,ECP_RS26445,,,,,,,,,,,,,,,,,,
2546_Hypothetical_protein,ECP_RS10830,c2615,PROKKA_01851,PROKKA_00445,PROKKA_00884,PROKKA_01642,PROKKA_02132,PROKKA_04447,PROKKA_04117,PROKKA_04115,PROKKA_02513,PROKKA_00921,PROKKA_02389,PROKKA_00901,PROKKA_01549,PROKKA_02593,,ECUMN_2422,UTI89_C2363
77407_fliP,ECP_RS09650,c2365,PROKKA_01607,PROKKA_00284,PROKKA_00681,PROKKA_01478,PROKKA_01950,PROKKA_04708,PROKKA_04331,PROKKA_03888,PROKKA_02728,PROKKA_00611,PROKKA_02147,PROKKA_00604,PROKKA_01319,,b1948,ECUMN_2240,UTI89_C2148
77294_prc,ECP_RS09090,c2239,PROKKA_01486,PROKKA_00149,PROKKA_00494,PROKKA_01360,PROKKA_01816,PROKKA_04830,PROKKA_04453,PROKKA_03676,PROKKA_02849,PROKKA_00490,PROKKA_02013,PROKKA_00482,PROKKA_01201,PROKKA_02953,b1830,ECUMN_2124,UTI89_C2031
75533_caiA,ECP_RS00210,c0048,PROKKA_04471,PROKKA_02967,PROKKA_03706,PROKKA_04398,PROKKA_04651,PROKKA_01813,PROKKA_01518,PROKKA_01755,PROKKA_04689,PROKKA_03704,PROKKA_03384,PROKKA_03453,PROKKA_04213,PROKKA_04859,b0039,ECUMN_0041,UTI89_C0045
18150_tuaG,,,,,PROKKA_03540,,,,,,,,,,,,,,
78193_pyrG,ECP_RS14115,c3345,PROKKA_02553,PROKKA_01139,PROKKA_01601,PROKKA_02385,PROKKA_02815,PROKKA_03791,PROKKA_03443,PROKKA_05219,PROKKA_01798,PROKKA_01617,PROKKA_05532,PROKKA_01560,PROKKA_02191,PROKKA_01905,b2780,ECUMN_3111,UTI89_C3149
76716_trpB,ECP_RS06650,c1726,PROKKA_00897,PROKKA_04216,PROKKA_00019 PROKKA_05205,PROKKA_00649,PROKKA_01272,PROKKA_00228,PROKKA_00213,PROKKA_03177,PROKKA_03387,PROKKA_05084,PROKKA_01283,PROKKA_05005,PROKKA_00682,PROKKA_03488,b1261,ECUMN_1560,UTI89_C1530
24370_mltD_1,,,,,,PROKKA_04587,,,,,,,,,,,,,
20769_nifJ_1,,,,,,PROKKA_00792,,,,,,,,,,,,,
72967_ppsE_1,,,,,,,,,,,,,,,,PROKKA_02742,,,
59868_dcuD_3,,,,,,,,,,,,,PROKKA_02225,,,,,,
76762_puuB,,,PROKKA_00942,PROKKA_04260,,PROKKA_00700,PROKKA_01319,,,,,,PROKKA_01337,,,,b1301,ECUMN_1607,
24670_lon_2,,,,,,PROKKA_04892,,,,,,,,,,,,,
58899_recD_1,,,,,,,,,,,,,PROKKA_01210,,,,,,
74469_dhaD,,,,,,,,,,,,,,,,PROKKA_04313,,,
25028_CobQ-CobB-MinD-ParA_..,,,,,,,PROKKA_05015,,,,,,,,,,,,
91975_DNA_transfer_protein,,,,,,,,,,,,,,,,,,,UTI89_C2643
2874_Hypothetical_protein,,c2949,,,,,,,,,,,,,,,,,
1500_Putative_Regulatory_..,,c1548,PROKKA_00657,,,,,PROKKA_00398,,,,PROKKA_04917,,,,PROKKA_03655,,ECUMN_1398,UTI89_C1289
91108_hypothetical_protein,,,,,,,,,,,,,,,,,,,UTI89_C1764
79469_dcuB,ECP_RS22245,c5128,PROKKA_04106,PROKKA_02587,PROKKA_03305,PROKKA_04050,PROKKA_04305,PROKKA_02151,PROKKA_01898,PROKKA_01312,PROKKA_00273,PROKKA_03240,,PROKKA_03108,PROKKA_03786,PROKKA_00167,b4123,ECUMN_4655,UTI89_C4716
76255_dinG,ECP_RS04090,c0883,,PROKKA_03761,PROKKA_04483,PROKKA_00061,PROKKA_00693,PROKKA_00954,PROKKA_00731,PROKKA_02547,PROKKA_03884,PROKKA_04481,PROKKA_00568,PROKKA_04293,PROKKA_00033,PROKKA_04119,b0799,ECUMN_0943,UTI89_C0802
77669_yfaT,ECP_RS11565,c2771,PROKKA_02000,PROKKA_00581,PROKKA_01034,PROKKA_01818,PROKKA_02273,PROKKA_04295,PROKKA_03956,PROKKA_04333,PROKKA_02366,PROKKA_01069,PROKKA_02592,PROKKA_01049,PROKKA_01695,PROKKA_02439,b2229,ECUMN_2566,UTI89_C2510
78112_recA,ECP_RS13625,c3253,PROKKA_02464,PROKKA_01057,PROKKA_01514,PROKKA_02284,PROKKA_02735,PROKKA_03877,PROKKA_03530,PROKKA_05312,PROKKA_01907,PROKKA_01534,PROKKA_05623,PROKKA_01467,PROKKA_02106,PROKKA_02011,b2699,ECUMN_3020,UTI89_C3061
75691_rcsF,ECP_RS01030,c0237,PROKKA_04631,PROKKA_03128,PROKKA_03882,PROKKA_04570,PROKKA_00023,PROKKA_01640,PROKKA_01350,PROKKA_01924,PROKKA_04516,PROKKA_03875,PROKKA_03197,PROKKA_03621,PROKKA_04382,PROKKA_04691,b0196,ECUMN_0194,UTI89_C0212
78492_yqjA,ECP_RS16270,c3853,PROKKA_02949,PROKKA_01510,PROKKA_02075,PROKKA_02853,PROKKA_03138,PROKKA_03332,PROKKA_03042,PROKKA_00103,PROKKA_01417,PROKKA_02082,PROKKA_04984,PROKKA_01962,PROKKA_02574,PROKKA_01408,b3095,ECUMN_3579,UTI89_C3533
11055_hypothetical_protein,,,,PROKKA_00696,,,,,,,,,,,,,,,
59745_otsA_2,,,,,,,,,,,,,PROKKA_02092,,,,,,
76263_rlmF,ECP_RS04130,c0892,PROKKA_00303,PROKKA_03769,PROKKA_04491,PROKKA_00069,PROKKA_00703,PROKKA_00946,PROKKA_00723,PROKKA_02558,PROKKA_03876,PROKKA_04489,PROKKA_00578,PROKKA_04303,PROKKA_00042,PROKKA_04110,b0807,ECUMN_0951,UTI89_C0810
264_Hypothetical_protein,,c0276,PROKKA_01706,,PROKKA_00792,,,PROKKA_01602,,,PROKKA_02606,PROKKA_03915,,PROKKA_03657 PROKKA_04632,,,,,UTI89_C1142
21330_yebZ_1,,,,,,PROKKA_01373,,PROKKA_04818,PROKKA_04440,,,PROKKA_00502,,,,PROKKA_02940,,,
92521_putative_exported_pr..,,,,,,,,,,,,,,,,,,,UTI89_C3206
78566_glmM,ECP_RS16640,c3932,PROKKA_03030,PROKKA_01592,PROKKA_02152,PROKKA_02942,PROKKA_03271,PROKKA_03254,PROKKA_02966,PROKKA_00180,PROKKA_01341,PROKKA_02156,PROKKA_04895,PROKKA_02038,PROKKA_02652,PROKKA_01328,b3176,ECUMN_3656,UTI89_C3608
54740_hypothetical_protein,,,,,,,,,,,,,PROKKA_06229,PROKKA_05109 PROKKA_05214,,,,,
6559_prr_1,,,PROKKA_01033,,,,,,,,,,,,,,,,
2971_Hypothetical_protein,,c3046,,,,,,,,,,,,,,,,,
4017_Hypothetical_protein,,c4110,,,,,,,,,,,,,,,,,UTI89_C3794
3881_Hypothetical_protein,,c3972,,,,,,,,,,,,,,,,,UTI89_C3648
77804_dsdA,ECP_RS12190 ECP_RS23290,c2901,PROKKA_02126,PROKKA_00749,PROKKA_01170 PROKKA_02730,PROKKA_01949,PROKKA_02395,PROKKA_04166,PROKKA_03835,PROKKA_04514,PROKKA_02246,PROKKA_01197,PROKKA_02744,PROKKA_01174,PROKKA_01816,PROKKA_02309 PROKKA_05113,b2366,ECUMN_2695,UTI89_C2697 UTI89_C4955
50401_hypothetical_protein,,,,,,,,,,,,PROKKA_00715,,,,,,,
78398_yghW,ECP_RS15725,c3735,PROKKA_02843,PROKKA_01412,PROKKA_01964 PROKKA_05207,PROKKA_02746,PROKKA_03243,PROKKA_03447,PROKKA_03151,PROKKA_04809,PROKKA_01527,PROKKA_01967,PROKKA_05162,PROKKA_01836,PROKKA_02461,PROKKA_01535,b2998,ECUMN_3483,UTI89_C3420
4662_Hypothetical_protein,ECP_RS20490,c4760,,,PROKKA_02941,,,PROKKA_02524,PROKKA_02257,PROKKA_00898,PROKKA_00640,PROKKA_02873,,PROKKA_02751,PROKKA_03388,PROKKA_00612,,,UTI89_C4401
77932_uraA,ECP_RS12750,c3014,PROKKA_02244,PROKKA_00877,PROKKA_01279,PROKKA_02085,PROKKA_02525,PROKKA_04057,PROKKA_03723,PROKKA_04625,PROKKA_02137,PROKKA_01305,PROKKA_02879,PROKKA_01283,PROKKA_01924,PROKKA_02197,b2497,ECUMN_2810,UTI89_C2813
5487_macB_3,,,PROKKA_05201,,PROKKA_05361,,PROKKA_04934,,,,,,,,,PROKKA_05238,,ECUMN_p10040,UTI89_P013
16829_hypothetical_protein,,,,,PROKKA_02132,,PROKKA_03074,,,,,,PROKKA_04916,,,,,,
78497_yqjK,ECP_RS16295,c3858,PROKKA_02954,PROKKA_01515,PROKKA_02080,PROKKA_02858,PROKKA_03133,PROKKA_03327,PROKKA_03037,PROKKA_00108,PROKKA_01412,PROKKA_02087,,PROKKA_01967,PROKKA_02579,PROKKA_01403,b3100,ECUMN_3584,UTI89_C3538
39435_hypothetical_protein,,,,,,,,,PROKKA_04729,,,,,,,,,,
79710_yjjU,ECP_RS23910,c5460,PROKKA_04399,PROKKA_02900,PROKKA_03636,PROKKA_04326,PROKKA_04584,PROKKA_01883,PROKKA_01588,PROKKA_01687,PROKKA_00004 PROKKA_04757,PROKKA_03636,PROKKA_03463,PROKKA_03383,PROKKA_04145,PROKKA_04928,b4377,ECUMN_5001,UTI89_C5147
2201_Hypothetical_protein,,c2266,PROKKA_01513,PROKKA_00177,PROKKA_00519,PROKKA_01389,PROKKA_01843,PROKKA_04803,PROKKA_04425,PROKKA_03702,PROKKA_02822,PROKKA_00517,PROKKA_02044,PROKKA_00510,PROKKA_01226,PROKKA_02924,,,UTI89_C2056
43083_Helix-turn-helix_dom..,,,,,,,,,,PROKKA_03116,,,,,,,,,
79628_yjhU,,,,PROKKA_02781,PROKKA_03545,,,,,PROKKA_01598,,,,,,,b4295,ECUMN_4893,
19612_intA_4,,,,,PROKKA_05068,,,,,,,,PROKKA_01218,,,,,,
78081_gabD,ECP_RS13425,c3209,PROKKA_02422,PROKKA_01018,PROKKA_01474,PROKKA_02245,PROKKA_02695,PROKKA_03924,PROKKA_03572,PROKKA_05354,PROKKA_01947,PROKKA_01489,,PROKKA_01425,PROKKA_02064,PROKKA_02053,b2661,ECUMN_2985,UTI89_C3016
20961_putative_DNA-binding..,,,,,,PROKKA_00988,,,,,,,PROKKA_01619,,,,,,
78995_rfaD,ECP_RS18945,c4445,PROKKA_03513,PROKKA_02039,PROKKA_02619,PROKKA_03436,PROKKA_03725,PROKKA_02768,PROKKA_02483,PROKKA_00667,PROKKA_00870,PROKKA_02633,PROKKA_04373,PROKKA_02519,PROKKA_03116,PROKKA_00852,b3619,ECUMN_4136,UTI89_C4164
17346_hypothetical_protein,,,,,PROKKA_02675,,,,,,,,,,,PROKKA_00255 PROKKA_02567 PROKKA_02837 PROKKA_02844 PROKKA_03028 PROKKA_03190 PROKKA_03292 PROKKA_03821 PROKKA_04595 PROKKA_05030 PROKKA_05120 PROKKA_05132 PROKKA_05225 PROKKA_05352,,,
79671_ytiA,ECP_RS23695,c5416,PROKKA_04339,PROKKA_02824,PROKKA_03592,PROKKA_04274,PROKKA_04548,PROKKA_01927,PROKKA_01648,PROKKA_01642,PROKKA_00046,PROKKA_03592,PROKKA_03504,PROKKA_03337,PROKKA_04097,PROKKA_05040,b4715,ECUMN_4944,UTI89_C5043
94526_hypothetical_protein,,,,,,,,,,,,,,,,,,,UTI89_P084
76228_ybhC,ECP_RS03945,c0849,PROKKA_00266,PROKKA_03731,PROKKA_04455,PROKKA_00032,PROKKA_00661,PROKKA_00984,PROKKA_00760,PROKKA_02517,PROKKA_03912,PROKKA_04452,PROKKA_00538,PROKKA_04262,PROKKA_00004 PROKKA_04966,PROKKA_04149,b0772,ECUMN_0857,UTI89_C0770
4655_Hypothetical_protein,ECP_RS20460,c4753,,,,,,PROKKA_02531,,,PROKKA_00646,,,PROKKA_02744,,PROKKA_00618,,,UTI89_C4395
88482_hypothetical_protein,ECP_RS25655,,,,,,,,,,,,,,,,,,UTI89_C4912
79012_rpmG,ECP_RS19020,c4460,PROKKA_03528,PROKKA_02054,PROKKA_02637,PROKKA_03454,PROKKA_03741,PROKKA_02752,PROKKA_02467,PROKKA_00683,PROKKA_00854,PROKKA_02649,PROKKA_04357,PROKKA_02536,PROKKA_03132,PROKKA_00836,b3636,ECUMN_4150,UTI89_C4180
76908_mnaT,ECP_RS07390,c1873,PROKKA_01042,PROKKA_04380,PROKKA_00164,PROKKA_00866,PROKKA_01442,PROKKA_00082,PROKKA_00071,PROKKA_03319,PROKKA_03181,PROKKA_00138,PROKKA_01519,PROKKA_00072,PROKKA_00816,PROKKA_03333,b1448,ECUMN_1697,UTI89_C1668
