,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86
c2717|yejF,PROKKA_01951,PROKKA_00539,PROKKA_00981,PROKKA_01771,PROKKA_02230,PROKKA_04349,PROKKA_04007,PROKKA_04212,PROKKA_02417,PROKKA_01015,PROKKA_02521,PROKKA_00998,PROKKA_01644,PROKKA_02491
c3955|yrbF,PROKKA_03050,PROKKA_01613,PROKKA_02172,PROKKA_02964,PROKKA_03292,PROKKA_03233,PROKKA_02946,PROKKA_00203,PROKKA_01321,PROKKA_02176,PROKKA_04875,PROKKA_02058,PROKKA_02672,PROKKA_01308
UTI89_C2183|irp2,PROKKA_01643,,PROKKA_00718,,PROKKA_01986,PROKKA_04643,PROKKA_04262,PROKKA_03922,PROKKA_02665,PROKKA_00733,,PROKKA_00687,PROKKA_01380,PROKKA_02786
c1597|sitD,PROKKA_00700,,PROKKA_04980,,PROKKA_04990,PROKKA_00354,,PROKKA_02972,PROKKA_03502,PROKKA_04963,PROKKA_06198,PROKKA_04890,PROKKA_00561,PROKKA_03608
c0894|glnQ,PROKKA_00305,PROKKA_03771,PROKKA_04493,PROKKA_00071,PROKKA_00705,PROKKA_00943,PROKKA_00720,PROKKA_02560,PROKKA_03873,PROKKA_04491,PROKKA_00580,PROKKA_04305,PROKKA_00044,PROKKA_04107
c5179|papG_2,,,,,,PROKKA_03570,,,,PROKKA_03464,,,,
c2394|,,,,,,PROKKA_04680,PROKKA_04298,,PROKKA_02701,PROKKA_00638,,PROKKA_00638,PROKKA_01346,PROKKA_02820
c2363|fliN,PROKKA_01604,PROKKA_00281,PROKKA_00678,PROKKA_01475,PROKKA_01947,PROKKA_04710,PROKKA_04333,PROKKA_03885,PROKKA_02730,PROKKA_00608,PROKKA_02144,PROKKA_00601,PROKKA_01316,
c5397|fimF,PROKKA_04322,PROKKA_02806,PROKKA_03575,PROKKA_04256,,PROKKA_01946,PROKKA_01681,PROKKA_01625,PROKKA_00077,PROKKA_03575,PROKKA_03528,PROKKA_03304,PROKKA_04065,PROKKA_05056
c3610|,,,PROKKA_01860,,,,,PROKKA_04915,,PROKKA_01858,,,,
c3592|papA,,,,,,,,,,PROKKA_03472,,,,
c0804|sucB,PROKKA_00211,PROKKA_03684,PROKKA_04408,PROKKA_05206,PROKKA_00614,PROKKA_01030,PROKKA_00807,PROKKA_02470,PROKKA_03959,PROKKA_04406,PROKKA_00460,PROKKA_04217,PROKKA_04924,PROKKA_04196
c0611|ybbL,PROKKA_04991,PROKKA_03469,PROKKA_04183,PROKKA_04948,PROKKA_00325,PROKKA_01224,PROKKA_01018,PROKKA_02259,PROKKA_04160,PROKKA_04213,PROKKA_00222,PROKKA_04019,PROKKA_04730,PROKKA_04397
c3069|yphE,PROKKA_02306,PROKKA_00931,PROKKA_01332,PROKKA_02143,PROKKA_02582,PROKKA_04003,PROKKA_03669,PROKKA_04697,PROKKA_02083,PROKKA_01410,PROKKA_02945,PROKKA_01335,PROKKA_01979,PROKKA_02143
c4225|gntK,PROKKA_03276,PROKKA_01837,PROKKA_02419,PROKKA_03203,PROKKA_03523,PROKKA_02975,PROKKA_02691,PROKKA_00461,PROKKA_01077,PROKKA_02433,PROKKA_04612,PROKKA_02317,PROKKA_02921,PROKKA_01044
c0145|lpdA,PROKKA_04550,PROKKA_03046,PROKKA_03796,PROKKA_04482,PROKKA_04677,PROKKA_01725,PROKKA_01434,PROKKA_01840,PROKKA_04602,PROKKA_03790,PROKKA_03295,PROKKA_03538,PROKKA_04300,PROKKA_04775
c5096|rpiB,,,PROKKA_03270,,,PROKKA_02185,PROKKA_01931,PROKKA_01279,PROKKA_00306,PROKKA_03206,PROKKA_03911,PROKKA_03075,PROKKA_03753,PROKKA_00201
c5127|fumB,PROKKA_01253,PROKKA_02586,PROKKA_00269,PROKKA_04049,PROKKA_04304,PROKKA_05062,PROKKA_04685,PROKKA_03444,PROKKA_03071,PROKKA_00266,PROKKA_03878,PROKKA_00258,PROKKA_00975,PROKKA_03198
c4308|chuA,PROKKA_03374,,PROKKA_02490,,,PROKKA_02901,PROKKA_02623,PROKKA_00526,PROKKA_01000,PROKKA_02505,PROKKA_04537,PROKKA_02394,PROKKA_02993,PROKKA_00978
c5241|frdB,PROKKA_04187,PROKKA_02621,PROKKA_03348,PROKKA_04085,PROKKA_04340,PROKKA_02116,PROKKA_01863,PROKKA_01425,PROKKA_00230,PROKKA_03432,PROKKA_03764,PROKKA_03142,PROKKA_03929,PROKKA_00131
c0798|sdhC,PROKKA_00206,PROKKA_03679,PROKKA_04403,PROKKA_05201,PROKKA_00609,PROKKA_01034,PROKKA_00811,PROKKA_02465,PROKKA_03963,PROKKA_04401,PROKKA_00455,PROKKA_04212,PROKKA_04919,PROKKA_04200
c1306|csgA,PROKKA_00535,PROKKA_04010,PROKKA_04826,PROKKA_00386,PROKKA_01010,PROKKA_00591,PROKKA_00504,PROKKA_02778,PROKKA_03655,PROKKA_04708,PROKKA_01015,PROKKA_04695,PROKKA_00403,PROKKA_03781
c5005|malK,PROKKA_04019,PROKKA_02498,PROKKA_03188,PROKKA_03944,PROKKA_04213,PROKKA_02269,PROKKA_02001,PROKKA_01204,PROKKA_00387,PROKKA_03124,PROKKA_03982,PROKKA_02999,PROKKA_03678,PROKKA_00361
c2433|,PROKKA_01648,,PROKKA_00725,,PROKKA_01992,PROKKA_04638,PROKKA_04258,PROKKA_03927,PROKKA_02661,PROKKA_00738,,PROKKA_00693,PROKKA_01384,PROKKA_02781
c4245|livG,PROKKA_03293,PROKKA_01855,PROKKA_02433,PROKKA_03221,PROKKA_03541,PROKKA_02956,PROKKA_02673,PROKKA_00478,PROKKA_01062,PROKKA_02451,PROKKA_04596,PROKKA_02334,PROKKA_02938,PROKKA_01024
c0393|,,,,,,PROKKA_01439,,PROKKA_02050,PROKKA_04358,PROKKA_04013,,PROKKA_03810,PROKKA_04527,PROKKA_04613
c0914|yliA,PROKKA_00330,PROKKA_03791,PROKKA_04512,PROKKA_00092,PROKKA_00725,PROKKA_00925,PROKKA_00701,PROKKA_02578,PROKKA_03854,PROKKA_04509,PROKKA_00728,PROKKA_04323,PROKKA_00062,PROKKA_04089
c0082|yabJ,PROKKA_04497,PROKKA_02992,PROKKA_03740,PROKKA_04428,PROKKA_04730,PROKKA_01783,PROKKA_01485,PROKKA_01784,PROKKA_04655,PROKKA_03733,PROKKA_03351,PROKKA_03483,PROKKA_04243,PROKKA_04829
c2272|yebM,PROKKA_01520,PROKKA_00183,PROKKA_00526,PROKKA_01395,PROKKA_01850,PROKKA_04795,PROKKA_04418,PROKKA_03708,PROKKA_02815,PROKKA_00524,PROKKA_02051,PROKKA_00517,PROKKA_01232,PROKKA_02917
c4213|,,,,,,PROKKA_02988,PROKKA_02703,PROKKA_00449,,PROKKA_02421,,PROKKA_02305,PROKKA_02911,PROKKA_01056
c4016|,,,PROKKA_02231,,,PROKKA_03173,PROKKA_02887,PROKKA_00262,PROKKA_01262,PROKKA_02232,PROKKA_04808,PROKKA_02119,PROKKA_02729,PROKKA_01248
c5482|gpmB,PROKKA_04422,PROKKA_02918,PROKKA_03655,PROKKA_04347,PROKKA_04602,PROKKA_01862,PROKKA_01567,PROKKA_01708,PROKKA_04738,PROKKA_03656,PROKKA_03441,PROKKA_03403,PROKKA_04166,PROKKA_04906
c3584|papF,PROKKA_02790,,,,,PROKKA_03568,,,,PROKKA_03302,,,,PROKKA_00003
c2659|yehX,PROKKA_01899,PROKKA_00488,PROKKA_00931,PROKKA_01707,PROKKA_02177,PROKKA_04400,PROKKA_04058,PROKKA_04162,PROKKA_02467,PROKKA_00964,PROKKA_02456,PROKKA_00945,PROKKA_01593,PROKKA_02542
c1343|flgC,PROKKA_00566,PROKKA_04041,PROKKA_04858,PROKKA_00419,PROKKA_01040,PROKKA_00559,PROKKA_00469,PROKKA_02809,PROKKA_03624,PROKKA_04739,PROKKA_01049,PROKKA_04726,PROKKA_00434,PROKKA_03749
c2293|flhA,PROKKA_01539,PROKKA_00217,PROKKA_00548,PROKKA_01416,PROKKA_01875,PROKKA_04774,PROKKA_04398,PROKKA_03819,PROKKA_02795,PROKKA_00544,PROKKA_02073,PROKKA_00537,PROKKA_01252,PROKKA_02896
c0831|gpmA,PROKKA_00249,PROKKA_03713,PROKKA_04438,PROKKA_00014,PROKKA_00643,PROKKA_01001,PROKKA_00778,PROKKA_02498,PROKKA_03929,PROKKA_04434,PROKKA_00517,PROKKA_04245,PROKKA_04949,PROKKA_04166
c4871|tpiA,PROKKA_03885,PROKKA_02363,PROKKA_03052,PROKKA_03801,PROKKA_04076,PROKKA_02412,PROKKA_02148,PROKKA_01061,PROKKA_00523,PROKKA_02983,PROKKA_05938,PROKKA_02857,PROKKA_03538,PROKKA_00504
c2263|eda,PROKKA_01510,PROKKA_00174,PROKKA_00516,PROKKA_01385,PROKKA_01840,PROKKA_04806,PROKKA_04428,PROKKA_03699,PROKKA_02825,PROKKA_00514,PROKKA_02038,PROKKA_00507,PROKKA_01223,PROKKA_02927
c4315|chuX,PROKKA_03377,,PROKKA_02493,,,PROKKA_02898,PROKKA_02620,PROKKA_00529,PROKKA_00997,PROKKA_02508,PROKKA_04534,PROKKA_02397,PROKKA_02996,PROKKA_00975
c1239|focA,,,,,,PROKKA_00658,,,,,,,,
c0997|artP,PROKKA_00373,PROKKA_03829,PROKKA_04549,PROKKA_00152,PROKKA_00766,PROKKA_00890,PROKKA_00664,PROKKA_02615,PROKKA_03818,PROKKA_04546,PROKKA_00773,PROKKA_04360,PROKKA_00144,PROKKA_04053
c5400|fimH,PROKKA_04324,PROKKA_02808,PROKKA_03577,PROKKA_04258,,PROKKA_01943,PROKKA_01679,PROKKA_01627,PROKKA_00075,PROKKA_03577,PROKKA_03526,PROKKA_03306,PROKKA_04067,PROKKA_05054
c0805|sucC,PROKKA_00212,PROKKA_03685,PROKKA_04409,PROKKA_05207,PROKKA_00615,PROKKA_01029,PROKKA_00806,PROKKA_02471,PROKKA_03958,PROKKA_04407,PROKKA_00461,PROKKA_04218,PROKKA_04925,PROKKA_04195
c2638|yehD,PROKKA_01875,PROKKA_00468,PROKKA_00908,PROKKA_01682,PROKKA_02156,PROKKA_04423,PROKKA_04081,PROKKA_04139,PROKKA_02488,PROKKA_00944,PROKKA_02428,PROKKA_00924,PROKKA_01571,PROKKA_02565
c2366|fliQ,PROKKA_01608,PROKKA_00285,PROKKA_00682,PROKKA_01479,PROKKA_01951,PROKKA_04707,PROKKA_04330,PROKKA_03889,PROKKA_02727,PROKKA_00612,PROKKA_02148,PROKKA_00605,PROKKA_01320,
c0012|talB,PROKKA_04438,PROKKA_02933,PROKKA_03671,PROKKA_04364,PROKKA_04618,PROKKA_01848,PROKKA_01552,PROKKA_01723,PROKKA_04724,PROKKA_03671,PROKKA_03426,PROKKA_03418,PROKKA_04181,PROKKA_04892
c3625|iucC,,,PROKKA_01842,,PROKKA_04998,,,PROKKA_04930,,PROKKA_01843,PROKKA_06187,,,PROKKA_05280
UTI89_C2188|fyuA,PROKKA_01649,,PROKKA_00726,,PROKKA_01993,PROKKA_04637,PROKKA_04257,PROKKA_03929,PROKKA_02660,PROKKA_00740,,PROKKA_00694,PROKKA_01386,PROKKA_02780
c4186|feoB,PROKKA_03243,PROKKA_01806,PROKKA_02388,PROKKA_03171,PROKKA_03494,PROKKA_03013,PROKKA_02729,PROKKA_00421,PROKKA_01106,PROKKA_02395,PROKKA_04650,PROKKA_02278,PROKKA_02886,PROKKA_01085
c4649|pstB,PROKKA_03632,PROKKA_02152,PROKKA_02829,PROKKA_03572,PROKKA_03853,PROKKA_02640,PROKKA_02373,PROKKA_00778,PROKKA_00759,PROKKA_02760,PROKKA_04137,PROKKA_02629,PROKKA_03273,PROKKA_00726
c2004|fumA,PROKKA_04105,PROKKA_02586,PROKKA_03304,PROKKA_04049,PROKKA_04304,PROKKA_02152,PROKKA_01899,PROKKA_01311,PROKKA_00274,PROKKA_03239,PROKKA_03878,PROKKA_03107,PROKKA_03785,PROKKA_00168
c0187|fhuD,PROKKA_04586,PROKKA_03081,PROKKA_03837,PROKKA_04520,PROKKA_04768,PROKKA_01687,PROKKA_01395,PROKKA_01875,PROKKA_04560,PROKKA_03826,PROKKA_03250,PROKKA_03575,PROKKA_04335,PROKKA_04734
c0890|ybiL,PROKKA_00301,PROKKA_03767,PROKKA_04489,PROKKA_00067,PROKKA_00701,PROKKA_00948,PROKKA_00725,,PROKKA_03878,PROKKA_04487,PROKKA_00575,PROKKA_04301,PROKKA_00039,PROKKA_04112
c2294|flhB,PROKKA_01540,PROKKA_00217,PROKKA_00548,PROKKA_01416,PROKKA_01875,PROKKA_04774,PROKKA_04398,PROKKA_03819,PROKKA_02794,PROKKA_00544,PROKKA_02075,PROKKA_00537,PROKKA_01252,PROKKA_02895
c0126|hofB,PROKKA_04539,PROKKA_03034,PROKKA_03780,PROKKA_04470,PROKKA_04687,PROKKA_01739,PROKKA_01445,PROKKA_01824,PROKKA_04615,PROKKA_03775,PROKKA_03306,PROKKA_03523,PROKKA_04285,PROKKA_04789
c2313|araG,PROKKA_01559,PROKKA_00236,PROKKA_00568,PROKKA_01435,PROKKA_01894,PROKKA_04756,PROKKA_04380,PROKKA_03839,PROKKA_02776,PROKKA_00564,PROKKA_02095,PROKKA_00556,PROKKA_01271,PROKKA_02877
c0801|sdhA,PROKKA_00207,PROKKA_03680,PROKKA_04404,PROKKA_05202,PROKKA_00610,PROKKA_01033,PROKKA_00810,PROKKA_02466,PROKKA_03962,PROKKA_04402,PROKKA_00456,PROKKA_04213,PROKKA_04920,PROKKA_04199
c1374|fhuE,PROKKA_00599,PROKKA_04070,PROKKA_04888,PROKKA_00451,PROKKA_01069,PROKKA_00528,PROKKA_00440,PROKKA_02838,PROKKA_03594,PROKKA_04769,PROKKA_01083,PROKKA_04757,PROKKA_00463,
c3520|tktA,PROKKA_02734,PROKKA_01336,PROKKA_01787,PROKKA_02585,PROKKA_02994,PROKKA_03611,PROKKA_03258,PROKKA_05041,PROKKA_01622,PROKKA_01785,PROKKA_05316,PROKKA_01739,PROKKA_02365,PROKKA_01722
c2121|pfkB,PROKKA_01376,PROKKA_00046,PROKKA_00390,PROKKA_01238,PROKKA_01710,PROKKA_04939,PROKKA_04565,PROKKA_03565,PROKKA_02953,PROKKA_00385,PROKKA_01893,PROKKA_00376,PROKKA_01098,PROKKA_03071
c1302|csgD,PROKKA_00531,PROKKA_04008,PROKKA_04824,PROKKA_00384,PROKKA_01008,PROKKA_00593,PROKKA_00506,PROKKA_02776,PROKKA_03657,PROKKA_04706,PROKKA_01013,PROKKA_04693,PROKKA_00401,PROKKA_03783
c2878|yfcO,,,,,,PROKKA_04190,PROKKA_03853,PROKKA_04490,,PROKKA_01171,,PROKKA_01152,PROKKA_01798,PROKKA_02329
c1600|sitA,PROKKA_00704,,PROKKA_04984,,PROKKA_04987,PROKKA_00351,,PROKKA_02977,PROKKA_03500,PROKKA_04967,PROKKA_00685,PROKKA_04895,PROKKA_00565,PROKKA_03606
c2637|yehC,PROKKA_01874,PROKKA_00467,PROKKA_00907,PROKKA_01681,PROKKA_02155,PROKKA_04424,PROKKA_04082,PROKKA_04138,PROKKA_02489,PROKKA_00943,PROKKA_02427,PROKKA_00923,PROKKA_01570,
c3781|tolC,PROKKA_02884,PROKKA_01444,PROKKA_02011,PROKKA_02779,PROKKA_03203,PROKKA_03398,PROKKA_03103,PROKKA_00039,PROKKA_01482,PROKKA_02016,PROKKA_05126,PROKKA_01897,PROKKA_02510,PROKKA_01476
c2355|fliG,PROKKA_01597,PROKKA_00274,PROKKA_00671,PROKKA_01468,PROKKA_01940,PROKKA_04716,PROKKA_04339,PROKKA_03878,PROKKA_02736,PROKKA_00601,PROKKA_02136,PROKKA_00594,PROKKA_01309,
c0297|,PROKKA_01692,,PROKKA_00773,,,PROKKA_04554,,PROKKA_04006,PROKKA_02616,PROKKA_03933,,PROKKA_03673,,PROKKA_02699
c0680|entC,PROKKA_00087,PROKKA_03551,PROKKA_04270,PROKKA_05063,PROKKA_00475,PROKKA_01155,PROKKA_00945,PROKKA_02344,PROKKA_04088,PROKKA_04282,PROKKA_00310,PROKKA_04092,PROKKA_04800,PROKKA_04320
c2357|fliH,PROKKA_01598,PROKKA_00275,PROKKA_00672,PROKKA_01469,PROKKA_01941,PROKKA_04716,PROKKA_04339,PROKKA_03879,PROKKA_02736,PROKKA_00602,PROKKA_02137,PROKKA_00595,PROKKA_01310,
c2927|glk,PROKKA_02148,PROKKA_00771,PROKKA_01193,PROKKA_01977,PROKKA_02420,PROKKA_04144,PROKKA_03813,PROKKA_04536,PROKKA_02224,PROKKA_01219,PROKKA_02771,PROKKA_01196,PROKKA_01838,PROKKA_02286
c3573|hlyB,,,,,,,,,,PROKKA_03503,,,PROKKA_03855,PROKKA_05150
c1014|macA,PROKKA_00388,PROKKA_03843,PROKKA_04564,PROKKA_00168,PROKKA_00781,PROKKA_00874,PROKKA_00649,PROKKA_02629,PROKKA_03803,PROKKA_04561,PROKKA_00792,PROKKA_04374,PROKKA_00158,PROKKA_04037
c0156|yadG,PROKKA_04561,PROKKA_03057,PROKKA_03808,PROKKA_04496,PROKKA_04744,PROKKA_01713,PROKKA_01422,PROKKA_01851,PROKKA_04590,PROKKA_03801,PROKKA_03281,PROKKA_03549,PROKKA_04311,PROKKA_04763
c2880|yfcQ,,,,,,PROKKA_04188,PROKKA_03851,PROKKA_04491,PROKKA_02262,PROKKA_01172,,PROKKA_01153,PROKKA_01799,PROKKA_02327
UTI89_C2180|,PROKKA_01639,,PROKKA_00713,,PROKKA_01982,PROKKA_04648,PROKKA_04266,PROKKA_03918,PROKKA_02668,PROKKA_00729,,PROKKA_00683,PROKKA_01375,PROKKA_02789
c1240|sfaD,,,,,,PROKKA_00657,,,,,,PROKKA_04591,PROKKA_03886,
c3623|iutA,PROKKA_05134,,PROKKA_01844,,PROKKA_05001,,,PROKKA_04929,,PROKKA_01845,PROKKA_06185,,,PROKKA_05282
c1599|sitB,PROKKA_00702,,PROKKA_04982,,PROKKA_04989,PROKKA_00353,,PROKKA_02975,PROKKA_03501,PROKKA_04965,PROKKA_01456,PROKKA_04893,PROKKA_00563,PROKKA_03607
c0584|aefA,PROKKA_04957,PROKKA_03440,PROKKA_04152,PROKKA_04920,PROKKA_00295,PROKKA_01258,PROKKA_01047,PROKKA_02226,PROKKA_04191,PROKKA_04185,PROKKA_00186,PROKKA_03990,PROKKA_04698,PROKKA_04430
UTI89_C2187|ybtE,PROKKA_01648,,PROKKA_00725,,PROKKA_01992,PROKKA_04638,PROKKA_04258,PROKKA_03927,PROKKA_02661,PROKKA_00738,,PROKKA_00693,PROKKA_01384,PROKKA_02781
c0127|ppdD,PROKKA_04541,PROKKA_03036,PROKKA_03782,PROKKA_04472,PROKKA_04686,PROKKA_01738,PROKKA_01444,PROKKA_01826,PROKKA_04614,PROKKA_03777,PROKKA_03305,PROKKA_03525,PROKKA_04287,PROKKA_04788
c4214|,,,,,,PROKKA_02987,PROKKA_02702,PROKKA_00450,,PROKKA_02422,,PROKKA_02306,PROKKA_02912,PROKKA_01055
c5393|fimA,PROKKA_04318,PROKKA_02802,PROKKA_03571,PROKKA_04252,,PROKKA_01951,PROKKA_01686,PROKKA_01621,PROKKA_00081,PROKKA_03571,PROKKA_03532,PROKKA_03300,PROKKA_04061,PROKKA_05060
c0802|sdhB,PROKKA_00209,PROKKA_03682,PROKKA_04406,PROKKA_05204,PROKKA_00612,PROKKA_01032,PROKKA_00809,PROKKA_02468,PROKKA_03961,PROKKA_04404,PROKKA_00458,PROKKA_04215,PROKKA_04922,PROKKA_04198
c0240|abc,PROKKA_04633,PROKKA_03130,PROKKA_03884,PROKKA_04572,PROKKA_00025,PROKKA_01637,PROKKA_01347,PROKKA_01926,PROKKA_04513,PROKKA_03877,PROKKA_03194,PROKKA_03623,PROKKA_04384,PROKKA_04688
c3991|mdh,PROKKA_03087,PROKKA_01650,PROKKA_02209,PROKKA_03002,PROKKA_03328,PROKKA_03197,PROKKA_02910,PROKKA_00239,PROKKA_01286,PROKKA_02210,PROKKA_04834,PROKKA_02095,PROKKA_02706,PROKKA_01272
c1251|iroE,,,,,,PROKKA_00643,,,PROKKA_04970,,PROKKA_06069,PROKKA_04604,PROKKA_00359,PROKKA_03859
c4185|feoA,PROKKA_03242,PROKKA_01805,PROKKA_02387,PROKKA_03170,PROKKA_03493,PROKKA_03014,PROKKA_02730,PROKKA_00420,PROKKA_01107,PROKKA_02394,PROKKA_04651,PROKKA_02277,PROKKA_02885,PROKKA_01086
c3590|papC,PROKKA_02795,,,,,PROKKA_03561,,,,PROKKA_03470,,,,PROKKA_01673
c2683|mglA,PROKKA_01918,PROKKA_00507,PROKKA_00950,PROKKA_01735,PROKKA_02196,PROKKA_04381,PROKKA_04040,PROKKA_04181,PROKKA_02449,PROKKA_00984,PROKKA_02479,PROKKA_00964,PROKKA_01612,PROKKA_02524
c4037|yhdZ,PROKKA_03122,PROKKA_01684,PROKKA_02251,PROKKA_03043,PROKKA_03363,PROKKA_03152,PROKKA_02866,PROKKA_00284,PROKKA_01242,PROKKA_02253,PROKKA_04785,PROKKA_02140,PROKKA_02750,PROKKA_01226
c3585|papE,PROKKA_02791,,,,,,,,,PROKKA_03466,,,,PROKKA_00002
c5326|ytfR,PROKKA_04262,PROKKA_02703,PROKKA_03431,PROKKA_04168,PROKKA_04419,PROKKA_02034,PROKKA_01783,PROKKA_01505,PROKKA_00150,PROKKA_03354,PROKKA_03676,PROKKA_03225,PROKKA_04009,PROKKA_00053
c0682|entB,PROKKA_00089,PROKKA_03553,PROKKA_04272,PROKKA_05066,PROKKA_00477,PROKKA_01153,PROKKA_00943,PROKKA_02347,PROKKA_04086,PROKKA_04285,PROKKA_00312,PROKKA_04094,PROKKA_04803,PROKKA_04318
c3697|kpsT,,,,,,,,,,,,,,
c0669|fepA,PROKKA_00076,PROKKA_03541,PROKKA_04259,PROKKA_05051,PROKKA_00465,PROKKA_01166,PROKKA_00957,PROKKA_02334,PROKKA_04099,PROKKA_04272,PROKKA_00297,PROKKA_04081,PROKKA_04790,PROKKA_04330
c2003|fumC,PROKKA_01251,PROKKA_04560,PROKKA_00267,PROKKA_01100,PROKKA_01583,PROKKA_05063,PROKKA_04686,PROKKA_03441,PROKKA_03072,PROKKA_00264,PROKKA_01758,PROKKA_00256,PROKKA_00973,PROKKA_03199
UTI89_C2185|ybtU,PROKKA_01645,,PROKKA_00722,,PROKKA_01989,PROKKA_04639,PROKKA_04260,PROKKA_03924,PROKKA_02662,PROKKA_00735,,PROKKA_00690,PROKKA_01381,PROKKA_02783
c2364|fliO,PROKKA_01606,PROKKA_00283,PROKKA_00680,PROKKA_01477,PROKKA_01949,PROKKA_04709,PROKKA_04332,PROKKA_03887,PROKKA_02729,PROKKA_00610,PROKKA_02146,PROKKA_00603,PROKKA_01318,
c5093|yjcW,,,PROKKA_03266,,,PROKKA_02188,PROKKA_01934,PROKKA_01275,PROKKA_00309,PROKKA_03202,PROKKA_03915,PROKKA_03071,PROKKA_03749,PROKKA_00204
c0186|fhuC,PROKKA_04585,PROKKA_03080,PROKKA_03836,PROKKA_04519,PROKKA_04767,PROKKA_01689,PROKKA_01397,PROKKA_01874,PROKKA_04562,PROKKA_03825,PROKKA_03252,PROKKA_03574,PROKKA_04334,PROKKA_04736
c3570|hlyA,,,,,,,,,,,,,PROKKA_03854,PROKKA_05148
c3589|papD,PROKKA_02794,,,,,PROKKA_03563,,,,PROKKA_03469,,,,PROKKA_05181
c4307|chuS,PROKKA_03373,,PROKKA_02489,,,PROKKA_02903,PROKKA_02624,PROKKA_00525,PROKKA_01001,PROKKA_02504,PROKKA_04538,PROKKA_02393,PROKKA_02992,PROKKA_00980
c2482|,PROKKA_01667,,PROKKA_00745,,,PROKKA_04581,,PROKKA_03979,PROKKA_02642,PROKKA_00786,,,,PROKKA_02729
c2989|talA,PROKKA_02210,PROKKA_00836,PROKKA_01254,PROKKA_02040,PROKKA_02485,PROKKA_04081,PROKKA_03747,PROKKA_04601,PROKKA_02161,PROKKA_01282,PROKKA_02843,PROKKA_01260,PROKKA_01901,PROKKA_02222
c3624|iucD,PROKKA_05135,,PROKKA_01842,,PROKKA_04999,,,PROKKA_04930,,PROKKA_01843,PROKKA_06186,,,PROKKA_05280
c1254|iroB,,,,,,PROKKA_00638,,,PROKKA_04973,,PROKKA_06065,PROKKA_04607,PROKKA_00363,
c1305|csgB,PROKKA_00534,PROKKA_04009,PROKKA_04825,PROKKA_00385,PROKKA_01009,PROKKA_00592,PROKKA_00505,PROKKA_02777,PROKKA_03656,PROKKA_04707,PROKKA_01014,PROKKA_04694,PROKKA_00402,PROKKA_03782
c2268|pykA,PROKKA_01514,PROKKA_00178,PROKKA_00520,PROKKA_01390,PROKKA_01844,PROKKA_04801,PROKKA_04423,PROKKA_03703,PROKKA_02820,PROKKA_00518,PROKKA_02045,PROKKA_00511,PROKKA_01227,PROKKA_02922
c0736|gltL,PROKKA_00147,PROKKA_03612,PROKKA_04328,PROKKA_05132,PROKKA_00539,PROKKA_01102,PROKKA_00890,PROKKA_02398,PROKKA_04030,PROKKA_04336,PROKKA_00380,PROKKA_04145,PROKKA_04854,PROKKA_04265
c2367|fliR,PROKKA_01609,PROKKA_00286,PROKKA_00683,PROKKA_01480,PROKKA_01952,PROKKA_04706,PROKKA_04329,PROKKA_03890,PROKKA_02726,PROKKA_00613,PROKKA_02149,PROKKA_00606,PROKKA_01321,
c5242|frdA,PROKKA_04187,PROKKA_02621,PROKKA_03348,PROKKA_04085,PROKKA_04340,PROKKA_02116,PROKKA_01863,PROKKA_01425,PROKKA_00230,PROKKA_03432,PROKKA_03764,PROKKA_03142,PROKKA_03929,PROKKA_00131
UTI89_C4921|cnf1,,,,,,,,,,PROKKA_03498,,,PROKKA_03859,PROKKA_05152
c5394|fimI,PROKKA_04319,PROKKA_02803,PROKKA_03572,PROKKA_04253,,PROKKA_01950,PROKKA_01685,PROKKA_01622,PROKKA_00080,PROKKA_03572,PROKKA_03531,PROKKA_03301,PROKKA_04062,PROKKA_05059
c2331|yecC,PROKKA_01576,PROKKA_00253,PROKKA_00649,PROKKA_01451,PROKKA_01919,PROKKA_04738,PROKKA_04362,PROKKA_03856,PROKKA_02758,PROKKA_00581,PROKKA_02112,PROKKA_00573,PROKKA_01288,PROKKA_02858
c1015|macB,PROKKA_00388,PROKKA_03843,PROKKA_04564,PROKKA_00168,PROKKA_00781,PROKKA_00874,PROKKA_00649,PROKKA_02629,PROKKA_03803,PROKKA_04561,PROKKA_00792,PROKKA_04374,PROKKA_00158,PROKKA_04037
c4210|,,,,,,PROKKA_02990,PROKKA_02705,PROKKA_00445,,PROKKA_02418,,PROKKA_02301,PROKKA_02908,PROKKA_01059
UTI89_C2181|ybtP,PROKKA_01640,,PROKKA_00715,,PROKKA_01983,PROKKA_04647,PROKKA_04266,PROKKA_03919,PROKKA_02668,PROKKA_00730,,PROKKA_00684,PROKKA_01377,PROKKA_02789
c1347|flgG,PROKKA_00570,PROKKA_04045,PROKKA_04862,PROKKA_00424,PROKKA_01044,PROKKA_00555,PROKKA_00465,PROKKA_02813,PROKKA_03619,PROKKA_04743,PROKKA_01053,PROKKA_04732,PROKKA_00438,PROKKA_03745
c0671|fes,PROKKA_00077,PROKKA_03542,PROKKA_04260,PROKKA_05053,PROKKA_00466,PROKKA_01165,PROKKA_00956,PROKKA_02335,PROKKA_04098,PROKKA_04273,PROKKA_00298,PROKKA_04082,PROKKA_04791,PROKKA_04329
